Responder,Question,OriginalResponse,ShortAnswer
7,3,"I did not feel like many of the residents wanted to get to know me. During the entire luncheon, they were discussing personal things that did not include the residents. The MMI's werent structured well in a large room where there were many distractions. The RPD's didn't really make me feel comfortable - it was just an awkward day compared to my other interviews.",
6,3,I appreciated that Dr. Gulbis took time out of his day to focus on the residency candidates. I felt that we had a lot of time and opportunity to speak with him as well as the other preceptors. I appreciated the tour and could honestly tell there was genuine respect and friendship between the residents (both PGY1 and PGY2),
5,3,NA,
4,3,"It was hard to interview in the common open area. During some questions I got distracted overhearing another candidate answer a question loudly at a neighboring table and lost my train of thought. A more quiet, and less public area would be more beneficial to interview at.",
3,3,NA,
2,3,I felt slightly offended with one interaction I had with two preceptors that were giggling during one of my answers during an interview. They explained why they were doing that but it still felt offensive because I felt like they were laughing at my answer.,
1,3,NA,
29,4,I thought the MMI were very fun and creative.,"No, it did not affect how I ranked the program"
28,4,"Even thought I am not sure if I performed appropriately because I missed some important things in one of the scenarios, I liked the MMI's. It served as a platform to showcase your thought process and communication skills. It was a fun and great experience to have.","No, it did not affect how I ranked the program"
27,4,NA,"No, it did not affect how I ranked the program"
26,4,NA,"No, it did not affect how I ranked the program"
25,4,NA,"No, it did not affect how I ranked the program"
24,4,NA,"No, it did not affect how I ranked the program"
23,4,NA,"Yes, I did not rank the program because of the MMI scenarios"
22,4,NA,"No, it did not affect how I ranked the program"
21,4,NA,"No, it did not affect how I ranked the program"
20,4,NA,"No, it did not affect how I ranked the program"
19,4,MMI format was similar between a lot of the programs I applied to. I believe it is very useful in addition to traditional interviews in accessing the interviewee.,"No, it did not affect how I ranked the program"
18,4,NA,"No, it did not affect how I ranked the program"
17,4,NA,"No, it did not affect how I ranked the program"
16,4,NA,"No, it did not affect how I ranked the program"
15,4,NA,"No, it did not affect how I ranked the program"
14,4,NA,"No, it did not affect how I ranked the program"
13,4,NA,"No, it did not affect how I ranked the program"
12,4,NA,"Yes, I ranked the program higher"
11,4,It was an interesting experience and I enjoyed some of the scenarios that I was given.,"No, it did not affect how I ranked the program"
10,4,The MMI were actually pretty fun and I felt like demonstatrated my abilities appropriately.,"No, it did not affect how I ranked the program"
9,4,NA,"No, it did not affect how I ranked the program"
8,4,The MMI format did not change my perception of the aforementioned qualities I sought,"No, it did not affect how I ranked the program"
7,4,The format of MMI HAS the potential for great ways to show students clinical skill. But a case of INR/warfarin monitoring and concurrent fluconazole DDI to me fell flat - especially in a program that focuses on acute care.,"Yes, I ranked the program lower"
6,4,"I appreciate this interview style, but it did not affect how I ranked the program.","No, it did not affect how I ranked the program"
5,4,NA,"No, it did not affect how I ranked the program"
4,4,NA,"No, it did not affect how I ranked the program"
3,4,"I had prior experience with MMI, and thought the scenarios Memorial Hermann TMC had prepared were actually quite fun! I though the directions for the journal article scenario were not very clear. I was under the impression that I was expected to provide a 'casual' explanation of an article to a fellow classmate; however, when I was done and saw the subtle reactions of my interviewers, it seemed that I was expected to present as if I were presenting to a group of preceptors. This is probably my mistake and not the directions, as I was excited and nervous during the process (as expected). To prevent further misunderstandings, an emphasis may be provided to the candidates, stating that their presentation is to a group of preceptors (if the aim is to get them to be more formal in their presentation style) or to a classmate (if the aim is to have them explain the article more casually, easier to understand manner).","No, it did not affect how I ranked the program"
2,4,"I was nervous for the MMIs at first, but I think they were very appropriate and I think it would be a better way to see how people react other than asking them behavioral related questions.","Yes, I ranked the program higher"
1,4,NA,"No, it did not affect how I ranked the program"
29,5,NA,Third Choice or Below
28,5,NA,Third Choice or Below
27,5,NA,Third Choice or Below
26,5,NA,Third Choice or Below
25,5,NA,Second Choice
24,5,NA,Second Choice
23,5,NA,Second Choice
22,5,NA,First Choice
21,5,NA,First Choice
20,5,NA,First Choice
19,5,NA,Third Choice or Below
18,5,NA,Second Choice
17,5,NA,Did Not Rank
16,5,NA,Third Choice or Below
15,5,NA,Third Choice or Below
14,5,NA,Third Choice or Below
13,5,NA,Third Choice or Below
12,5,NA,First Choice
11,5,NA,First Choice
10,5,NA,Third Choice or Below
9,5,NA,Third Choice or Below
8,5,NA,Second Choice
7,5,NA,Third Choice or Below
6,5,"While I very much liked the program, I am not 100% sure I want to focus so much on the ICU, and since TMC is an ICU focuses site, it is for that reason I did not rank it #1.",Third Choice or Below
5,5,NA,Second Choice
4,5,NA,Second Choice
3,5,"I know I will be an excellent and well-rounded pharmacist if I complete the residency program at Memorial Hermann TMC. My top 4 programs were all very similar in a lot of ways, whether that be the preceptors, available rotations, reputation, how I felt (comfortable vs. intimidated) during my interview process or in terms of the factors I described in my response to the 2nd question on tis survey.",Third Choice or Below
2,5,NA,First Choice
1,5,The program seems to be highly competitive and offers many great learning opportunities; however the interactions that I had with preceptors and residents were slightly uncomfortable. Everything was very serious and there weren't many lighthearted moments during the interview.,Third Choice or Below
29,6,The residents' interactions with each other. I did not feel like I would fit in an environment where the residents were so unfriendly to each other.,
28,6,"Location, PGY2 in areas of interest, staffing opportunities.",
27,6,NA,
26,6,NA,
25,6,did not offer pgy2 in my area of interest,
24,6,NA,
23,6,NA,
22,6,NA,
21,6,NA,
20,6,NA,
19,6,"The primary reason I did not rank Memorial Hermann higher on my list was because other programs were similar in regards to rotation offerings and program set up, but were ultimately closer to home.",
18,6,"While there were many components I greatly enjoyed during the interview process, the fact that I did not receive any feedback after the interviews regarding interest in me as a candidate influenced my decision to rank the program second",
17,6,Resident interactions,
16,6,Variety of Pgy2 programs available,
15,6,Other programs had more opportunities in my speciality area,
14,6,limited PGY2 options was a big tie breaker,
13,6,I honestly believe MH-TMC has an outstanding residency program and would provide a rigorous clinical training experience. I also had extremely positive interactions during my interview and have always been impressed by the professionalism exhibited by representatives of the program. The reasons I ranked other programs above MH-TMC were because they had more PGY-2s in my areas of interest and I felt I fit in better with the people at those institutions.,
12,6,NA,
11,6,NA,
10,6,I did not feel very welcome nor did I feel like I fit in there. In addition my interview with the RPD was very awkward and I did not have a good but feeling when I left.,
9,6,Location,
8,6,"It was an extremely difficult decision to make, and was ultimately swayed by the intangible factors",
7,6,"I was never asked during a single interview why I wanted to do a residency or why I felt I would be a good candidate for Memorial Hermann. I don't think situational questions (""tell me about a time""..) accurately give an sense of who I am as a candidate. They also gave me no ability to form connections with the interviewers.",
6,6,"While I very much liked the program, I am not 100% sure I want to focus so much on the ICU, and since TMC is an ICU focuses site, it is for that reason I did not rank it #1.",
5,6,NA,
4,6,Memorial Hermann-TMC was my first choice but I ended up swapping it around before the deadline mainly because I felt I had a better connections with preceptors from my first choice rank program.,
3,6,"Other programs had PGY2 program availabilities that are more aligned with my current interest areas. Additionally, the response I got for one of my questions about the research project selection process was inconsistent between residents vs. interviewers. Finally, the residents on the day of my interview seemed very exhausted, and I got the impression that the residency class was not as close to one another as I have seen in other programs. As mentioned, the differences among my top 4 programs were minor, so small reasons and impressions such as the ones listed above (which are not very important in the grand scheme of things) played a role in my final decision making.",
2,6,NA,
1,6,Overall fit.,
29,7,provide an information packet about the hospital itself as well as the major hospital affiliates were there are rotations.,
28,7,The interview provides a good overview of the program structure and institution's culture. I wouldn't change the interview process.,
27,7,Please try to improve the tour.,
26,7,Perhaps having the interviews in more private rooms so it is more individualized,
25,7,A more organized manner to talk to preceptors. I felt that I was not able to talk to everyone I wanted to because other candidates were already talking to them and it was a bit too formal. I think having the preceptors around for half of lunch would be a good option.,
24,7,"For me, I think I would have preferred to be in individual rooms as the atrium was somewhat distracting with various conversations going on all at once.",
23,7,Other programs had a dinner the night before with the residents to allow them to get to know the residents and the program.,
22,7,NA,
21,7,NA,
20,7,It was by far the best interview I have had. I felt I was given fair opportunity to show my strengths as well as my personality.,
19,7,I do not have any suggestions on how to improve the interview process. I thoroughly enjoyed my interview day at Memorial Hermann.,
18,7,NA,
17,7,More closed off locations (less open) for interviews/MMI and a pre-interview dinner with the residents,
16,7,Coffee around the lunch hour,
15,7,"Overall, I thought it was a great day!",
14,7,I enjoyed the interview day. I really enjoyed the tour and the ample time to ask questions. I also felt Dr. Gulbis RPD was readily available to us. The journal articles were a little nerve wracking but ended up okay. It was hard to gauge how some people felt about me when interacting with them.,
13,7,NA,
12,7,"For those candidates who never have experience with MMI prior to the interview, it could be a disadvantage as compared to candidates who have experience with MMI.",
11,7,"Overall, I like the way the interview day was organized. The standard interview and MMI help to understand the interviewee while the rest of the day was more informal and allowed time to interact with residents and preceptors.",
10,7,The preceptor meet and greet should have included more preceptors.,
9,7,NA,
8,7,Perhaps more preceptors could attend the Preceptor Meet and Greet,
7,7,"-- Hold MMI's in different location where candidates can concentrate on the questions being asked. -- Consider clinical cases that expound on a potential candidates clinical skills in acute care -- NOT ambulatory care (RSI, pharmacotherapy for patients who are intubated, clot/bleeding, sepsis) -- Ensure more preceptors go to meet and greet (only had 2-3 preceptors there) -- Get to know residents personality instead of what they've done, but rather what they can do. -- Discuss with residents importance of getting to know the residents and not use the lunch to discuss personal things amongst themselves.",
6,7,"Overall, the interview day was efficient, well thought-out, personable and welcoming. I enjoyed that the day was spent with other candidates to lessen the stress of the day.",
5,7,NA,
4,7,"I would not conduct the interviews in such an open, public area. I was not distracted by the people walking overhead, but more so by the fact that I could hear some other candidates answering at neighboring tables. Because of the echo in the room, I heard their answers and lost my train of thought. I would suggest trying for a more quiet conference room or less public area to conduct the interviews.",
3,7,"I thought the residency interview day you had planned at Memorial Hermann TMC was excellent. The tour provided was impressive and detailed, so it would be to the program's (and also future candidates') advantage if it is continued to be provided in the same way. I have noticed that the less intimidating the whole process is (and by that I mostly mean the way interviewers interact with the candidates, how they answer the questions posed, whether they change their tone of voice if asked to respond to a criticism or what may be thought of as a negative comment or not, etc.), the easier it is for candidates to feel comfortable and really be themselves. I thought Memorial Hermann TMC did a good job with this; the only reason I wanted to mention it here is because I saw it as a strength (but there is always room for improvements), and want the program to continue to be this way and ensure all interviewers are aware of this fact as one that is important in the eyes of some candidates. I want to note here that I was humbled to have been selected for an interview at your institution; I am certain you get hundreds of applications from highly qualified candidates. I hope my feedback will be of use to the program.",
2,7,NA,
1,7,NA,
